lon,lat,sess
-100.4458825,39.7837304,2182160
-3.2765753,54.7023545,119873
-107.9917071,61.0666922,115808
10.4234469,51.0834196,101628
134.755,-24.7761086,87288
12.674297,42.6384261,78901
1.8883335,46.603354,62912
-4.003104,40.0028028,58492
78.6677428,22.3511148,30534
104.999927,35.000074,28370
97.7453061,64.6863136,27371
34.9249653,38.9597594,27171
19.0258159,52.0977181,25950
114.5632032,-4.7993356,25125
4.66696,50.6407351,21015
139.2394179,36.5748441,20886
-100.0000375,22.5000485,20681
5.7480821,52.5001698,19639
-53.2,-10.3333333,17724
8.2319736,46.7985624,12961
13.199959,47.2000338,11835
122.7312101,12.7503486,11577
-7.9794599,52.865196,11514
14.5208584,59.6749712,10932
25.9209164,63.2467777,10581
19.5060937,47.1817585,10548
172.8344077,-41.5000831,10217
-7.8896263,40.033265,9339
24.6859225,45.9852129,8870
15.4749544,49.8167003,8588
-65.2699754,-35.0039032,8235
31.2718321,49.4871968,8029
21.9999569,39.000041,7995
35.0015196,30.8760272,7363
29.2675469,26.2540493,6687
10.3333283,55.670249,6061
20.55144,44.1534121,5946
17.0118954,45.5643442,5909
127.937111,35.3985008,5537
71.247499,30.3308401,5150
-73.7845072,2.8930783,4978
120.9820179,23.9739374,4964
112.8471939,2.3923759,4912
53.9994829,24.0002488,4745
100.83273,14.8971921,4657
108.4265113,13.2904027,4651
11.526748676,64.5727775,4597
19.4528646,48.7411522,4560
52.9471344,32.9407496,4403
114.1628131,22.2793278,4010
103.852038,1.2904527,3749
-71.3187697,-31.7613365,3517
-75.0458515,-6.8699697,3447
24.991639,-28.8166236,3143
25.4856617,42.6073975,3066
42.3528328,25.6242618,2819
-7.3366043,31.1728192,2319
14.4808369,45.8133113,2319
44.6736646,40.7696272,2257
23.7499998,55.3500003,2257
2.9999825,28.0000272,2221
-66.1109318,8.0018709,2152
21.7168387,41.6171214,2128
17.5859673,44.3092405,2122
-66.5841246,18.2017809,2047
24.5999717,56.8666904,1745
27.6971358,53.4250605,1561
-79.3666965,-1.3397668,1318
44.1749775,33.0955793,1228
9.400138,33.8439408,1138
35.843409,33.8750629,1118
-56.0201525,-32.8755548,1117
7.9999721,9.6000359,1064
25.3319078,58.7523778,975
38.4313975,1.4419683,897
-84.0739102,10.2735633,851
-89.8988087,15.6356088,762
