lon,lat,sess
-100.4458825,39.7837304,1155530
-3.2765753,54.7023545,58515
10.4234469,51.0834196,53395
-107.9917071,61.0666922,51407
1.8883335,46.603354,36188
12.674297,42.6384261,33385
-4.003104,40.0028028,26619
134.755,-24.7761086,25392
114.5632032,-4.7993356,19731
104.999927,35.000074,16211
78.6677428,22.3511148,15456
5.7480821,52.5001698,15229
97.7453061,64.6863136,14950
34.9249653,38.9597594,13463
19.0258159,52.0977181,12861
139.2394179,36.5748441,11430
4.66696,50.6407351,10104
-53.2,-10.3333333,10018
-100.0000375,22.5000485,9604
8.2319736,46.7985624,8042
122.7312101,12.7503486,7399
13.199959,47.2000338,6593
14.5208584,59.6749712,5145
20.55144,44.1534121,5088
24.6859225,45.9852129,4836
19.5060937,47.1817585,4829
21.9999569,39.000041,4682
31.2718321,49.4871968,4604
-7.8896263,40.033265,4268
15.4749544,49.8167003,4250
-65.2699754,-35.0039032,4077
35.0015196,30.8760272,3837
172.8344077,-41.5000831,3801
-7.9794599,52.865196,3325
112.8471939,2.3923759,3267
10.3333283,55.670249,3211
71.247499,30.3308401,2996
108.4265113,13.2904027,2977
19.4528646,48.7411522,2847
52.9471344,32.9407496,2715
-73.7845072,2.8930783,2690
127.937111,35.3985008,2647
114.1628131,22.2793278,2607
11.526748676,64.5727775,2530
25.9209164,63.2467777,2479
120.9820179,23.9739374,2471
24.991639,-28.8166236,2418
29.2675469,26.2540493,2294
17.0118954,45.5643442,2120
103.852038,1.2904527,2051
42.3528328,25.6242618,1890
25.4856617,42.6073975,1722
-71.3187697,-31.7613365,1678
14.4808369,45.8133113,1657
21.7168387,41.6171214,1546
-75.0458515,-6.8699697,1368
100.83273,14.8971921,1362
24.5999717,56.8666904,1351
23.7499998,55.3500003,1335
17.5859673,44.3092405,1296
2.9999825,28.0000272,1173
53.9994829,24.0002488,1129
-66.1109318,8.0018709,1110
-66.5841246,18.2017809,1051
44.1749775,33.0955793,1031
25.3319078,58.7523778,966
44.6736646,40.7696272,957
-7.3366043,31.1728192,898
27.6971358,53.4250605,853
19.9999619,41.000028,744
-56.0201525,-32.8755548,687
36.941628,31.1667049,665
-18.1059013,64.9841821,654
7.9999721,9.6000359,524
38.4313975,1.4419683,503
-84.0739102,10.2735633,492
-79.3666965,-1.3397668,466
9.400138,33.8439408,462
35.843409,33.8750629,450
90.2932426,24.4768783,442
33.1451285,34.9823018,413
19.291739,43.0285558,400
80.7038245875,7.878,378
51.2295295,25.3336984,336
-60.9821067,10.8677845,336
28.5110236,47.286747,325
63.9528098,41.32373,315
47.4979476,29.2733964,306
39.0494106,34.6401861,274
35.7878438,-6.5247123,273
14.504285,35.8953019,271
-64.9912286,-17.0568696,268
6.1296751,49.8158683,263
-59.5250305,13.1500331,247
35.162072,31.649741,241
-77.3947693,18.1850507,230
-89.8988087,15.6356088,225
84.0916787,28.1083178,208
-1.0800271,8.0300284,202
-70.3012705,19.094175,201
50.5344606,26.1551249,197
65.2093197,47.2286086,185
-81.3066246,8.3096067,182
-88.9140683,13.8000382,172
47.8207429,40.1636668,170
38.6521203,10.2116702,160
-84.5978534,15.0610686,155
165.4880773,-21.3019905,155
103.8499736,46.8250388,117
30.3714240786,15.79125,117
104.869423,13.5066394,116
113.5381216,22.1919514,109
57.5703566,-20.2759451,109
57.0036901,21.0000287,109
-58.1693445,-23.3165935,93
-14.4529612,14.4750607,92
-84.8700308,12.3724928,84
179.0122737,-18.1239696,81
55.5265771,-21.1309332,75
-78.0000547,24.7736546,74
-145.144109825,-16.36534505,70
32.2166578,1.5333554,70
47.8915271,16.3471243,70
29.7468414,-18.4554963,68
-80.8328748,23.0131338,67
114.5653908,4.4137155,64
34.9144977,-19.302233,58
95.9999652,17.1750495,56
-2.1358386,49.2214561,54
-4.5591148,54.1936805,53
13.1535811,4.6125522,50
46.4416422,-18.9249604,48
125.8375756,-8.5151979,48
-5.35172472574,36.1316601,47
30.0644358,-1.9646631,40
27.5599164,-14.5186239,40
17.3231107,-23.2335499,39
73.4867968,4.2218417,38
74.724091,41.5089324,36
64.9998468,33.0000866,35
144.733626446,13.444138,35
-88.7600927,16.8259793,34
24.5928742,-23.1681782,34
-61.5650444,16.2490067,33
7.4197456,43.7312599,33
-58.6416891,4.8417097,31
-64.7603583,32.3018217,30
90.5119273,27.549511,29
-9.2399263,20.2540382,29
-56.0771187,4.1413025,29
-64.7080574,17.789187,27
-72.3570972,19.1399952,26
17.5691241,-11.8775768,24
23.8222636,-2.9814344,24
-69.9618475,12.5013629,23
18.1236723,26.8234472,23
-5.5679458,7.9897371,22
70.8156541,38.6281733,22
9.54693948514,47.15934115,21
-7.0322972,62.0448724,20
42.7377044381,11.85270615,18
1.0199765,8.7800265,18
144.2489081,-5.6816069,17
-1.6880314,12.0753083,16
103.378253,20.0171109,16
1.5732033,42.5407167,15
-2.58120210033,49.46229125,15
-2.2900239,16.3700359,15
33.9301963,-13.2687204,13
55.4540146,-4.6574977,13
-60.9620777,14.6113732,12
