lon,lat,sess
-100.4458825,39.7837304,110878
-107.9917071,61.0666922,7617
10.4234469,51.0834196,5386
-3.2765753,54.7023545,4240
134.755,-24.7761086,3901
12.674297,42.6384261,3101
1.8883335,46.603354,2912
4.66696,50.6407351,2347
-4.003104,40.0028028,2317
5.7480821,52.5001698,2125
139.2394179,36.5748441,1933
104.999927,35.000074,1929
78.6677428,22.3511148,1719
114.5632032,-4.7993356,1498
97.7453061,64.6863136,1469
31.2718321,49.4871968,1364
34.9249653,38.9597594,1105
-53.2,-10.3333333,1074
19.0258159,52.0977181,996
8.2319736,46.7985624,991
-100.0000375,22.5000485,914
-65.2699754,-35.0039032,669
35.0015196,30.8760272,600
172.8344077,-41.5000831,583
108.4265113,13.2904027,572
13.199959,47.2000338,520
24.6859225,45.9852129,507
127.937111,35.3985008,443
15.4749544,49.8167003,415
21.9999569,39.000041,391
-7.8896263,40.033265,391
-7.9794599,52.865196,363
14.5208584,59.6749712,356
-71.3187697,-31.7613365,328
114.1628131,22.2793278,325
11.5258473566,64.574131,309
29.2675469,26.2540493,307
52.9471344,32.9407496,299
122.7312101,12.7503486,293
120.9820179,23.9739374,274
10.3333283,55.670249,257
19.5060937,47.1817585,245
-73.7845072,2.8930783,243
24.991639,-28.8166236,219
47.4979476,29.2733964,218
20.55144,44.1534121,216
103.852038,1.2904527,205
71.247499,30.3308401,202
42.3528328,25.6242618,196
17.0118954,45.5643442,194
112.8471939,2.3923759,194
25.9209164,63.2467777,187
2.9999825,28.0000272,175
-75.0458515,-6.8699697,169
25.4856617,42.6073975,164
53.9994829,24.0002488,136
-60.9821067,10.8677845,124
19.4528646,48.7411522,112
-66.1109318,8.0018709,112
23.7499998,55.3500003,110
14.4808369,45.8133113,105
24.5999717,56.8666904,100
-7.3366043,31.1728192,100
-56.0201525,-32.8755548,100
-79.3666965,-1.3397668,98
100.83273,14.8971921,90
38.4313975,1.4419683,85
-66.5841246,18.2017809,83
25.3319078,58.7523778,76
44.6736646,40.7696272,65
33.1451285,34.9823018,61
27.6971358,53.4250605,60
-84.0739102,10.2735633,60
39.0494106,34.6401861,56
35.843409,33.8750629,53
21.7168387,41.6171214,53
7.9999721,9.6000359,49
17.5859673,44.3092405,48
-89.8988087,15.6356088,48
9.400138,33.8439408,40
44.1749775,33.0955793,38
90.2932426,24.4768783,35
36.941628,31.1667049,34
-64.9912286,-17.0568696,33
28.5110236,47.286747,32
-14.4529612,14.4750607,31
-59.5250305,13.1500331,30
65.2093197,47.2286086,30
57.0036901,21.0000287,30
51.2295295,25.3336984,30
64.9998468,33.0000866,29
-81.3066246,8.3096067,29
-78.0000547,24.7736546,28
6.1296751,49.8158683,28
-18.1059013,64.9841821,27
19.9999619,41.000028,26
14.3836306159,35.9446731,26
179.0122737,-18.1239696,24
46.4416422,-18.9249604,24
84.0916787,28.1083178,24
104.869423,13.5066394,22
47.8207429,40.1636668,21
80.7038245875,7.878,21
-77.3947693,18.1850507,20
18.1236723,26.8234472,20
-88.9140683,13.8000382,19
-70.3012705,19.094175,18
19.291739,43.0285558,18
-58.1693445,-23.3165935,18
9.54693948514,47.15934115,17
47.8915271,16.3471243,17
-84.5978534,15.0610686,15
-80.8328748,23.0131338,14
103.8499736,46.8250388,14
-1.0800271,8.0300284,12
57.5703566,-20.2759451,12
30.3714240786,15.79125,12
63.9528098,41.32373,12
38.6521203,10.2116702,10
144.733626446,13.444138,8
17.3231107,-23.2335499,8
50.5344606,26.1551249,7
113.5381216,22.1919514,7
32.2166578,1.5333554,7
24.5928742,-23.1681782,6
114.5653908,4.4137155,5
73.4867968,4.2218417,5
-60.9620777,14.6113732,5
34.9144977,-19.302233,5
95.9999652,17.1750495,5
35.162072,31.649741,5
144.2489081,-5.6816069,5
55.5265771,-21.1309332,5
35.7878438,-6.5247123,5
17.5691241,-11.8775768,4
90.5119273,27.549511,4
-2.58120210033,49.46229125,4
-84.8700308,12.3724928,4
-60.975036,13.8250489,4
70.8156541,38.6281733,4
-2.1358386,49.2214561,3
74.724091,41.5089324,3
-61.2765569,12.90447,3
-64.7080574,17.789187,3
-88.7600927,16.8259793,2
-1.6880314,12.0753083,2
-24.0083947,16.0000552,2
42.7377044381,11.85270615,2
-7.0322972,62.0448724,2
-5.35172472574,36.1316601,2
-58.6416891,4.8417097,2
103.378253,20.0171109,2
165.4880773,-21.3019905,2
9.3238432,17.7356214,2
-61.8222516,17.079128,1
-69.9618475,12.5013629,1
13.1535811,4.6125522,1
23.8222636,-2.9814344,1
-160.3554851,-16.0492781,1
-5.5679458,7.9897371,1
10.5170357,1.613172,1
-145.144109825,-16.36534505,1
-42.8125967,77.6192349,1
-61.6904045,12.1360374,1
-61.5650444,16.2490067,1
28.23347,-29.628684,1
7.4197456,43.7312599,1
162.8288542,-9.7354344,1
27.5599164,-14.5186239,1
29.7468414,-18.4554963,1
