lon,lat,sess
-100.4458825,39.7837304,590304
-107.9917071,61.0666922,33125
114.5632032,-4.7993356,32179
10.4234469,51.0834196,30394
-3.2765753,54.7023545,26729
1.8883335,46.603354,18407
-4.003104,40.0028028,17339
134.755,-24.7761086,16833
12.674297,42.6384261,14827
78.6677428,22.3511148,10230
122.7312101,12.7503486,9906
104.999927,35.000074,8815
5.7480821,52.5001698,8464
139.2394179,36.5748441,7670
97.7453061,64.6863136,7594
19.0258159,52.0977181,7410
4.66696,50.6407351,7167
-53.2,-10.3333333,5918
20.55144,44.1534121,5692
108.4265113,13.2904027,5285
-100.0000375,22.5000485,4403
8.2319736,46.7985624,4388
34.9249653,38.9597594,4338
13.199959,47.2000338,3730
29.2675469,26.2540493,3452
31.2718321,49.4871968,3408
-65.2699754,-35.0039032,3094
112.8471939,2.3923759,3081
35.0015196,30.8760272,2946
21.9999569,39.000041,2936
14.5208584,59.6749712,2837
15.4749544,49.8167003,2589
24.6859225,45.9852129,2542
19.5060937,47.1817585,2507
42.3528328,25.6242618,2356
172.8344077,-41.5000831,2305
17.0118954,45.5643442,2254
11.526748676,64.5727775,2190
-7.8896263,40.033265,2123
52.9471344,32.9407496,2121
10.3333283,55.670249,1999
-7.9794599,52.865196,1982
71.247499,30.3308401,1754
14.4808369,45.8133113,1723
21.7168387,41.6171214,1629
127.937111,35.3985008,1601
17.5859673,44.3092405,1576
120.9820179,23.9739374,1548
-71.3187697,-31.7613365,1528
100.83273,14.8971921,1505
19.4528646,48.7411522,1482
24.991639,-28.8166236,1441
-73.7845072,2.8930783,1427
24.5999717,56.8666904,1403
25.9209164,63.2467777,1384
103.852038,1.2904527,1363
114.1628131,22.2793278,1316
25.4856617,42.6073975,1165
-75.0458515,-6.8699697,1009
44.1749775,33.0955793,969
-7.3366043,31.1728192,913
23.7499998,55.3500003,894
53.9994829,24.0002488,834
19.291739,43.0285558,707
36.941628,31.1667049,680
2.9999825,28.0000272,677
25.3319078,58.7523778,615
-18.1059013,64.9841821,615
-66.1109318,8.0018709,602
-66.5841246,18.2017809,600
44.6736646,40.7696272,580
47.4979476,29.2733964,461
9.400138,33.8439408,401
28.5110236,47.286747,380
35.843409,33.8750629,371
19.9999619,41.000028,368
38.4313975,1.4419683,340
27.6971358,53.4250605,322
39.0494106,34.6401861,321
-79.3666965,-1.3397668,312
63.9528098,41.32373,285
-56.0201525,-32.8755548,281
-84.0739102,10.2735633,271
7.9999721,9.6000359,260
80.7038245875,7.878,257
90.2932426,24.4768783,256
33.1451285,34.9823018,252
51.2295295,25.3336984,250
6.1296751,49.8158683,223
-64.9912286,-17.0568696,218
-60.9821067,10.8677845,187
-89.8988087,15.6356088,186
-81.3066246,8.3096067,185
35.162072,31.649741,183
18.1236723,26.8234472,175
65.2093197,47.2286086,163
14.504285,35.8953019,160
35.7878438,-6.5247123,159
47.8207429,40.1636668,148
84.0916787,28.1083178,143
-70.3012705,19.094175,139
-59.5250305,13.1500331,106
-77.3947693,18.1850507,101
30.3714240786,15.79125,100
-88.9140683,13.8000382,95
-1.0800271,8.0300284,92
