lon,lat,sess
-100.4458825,39.7837304,1160776
10.4234469,51.0834196,115996
-3.2765753,54.7023545,105155
12.674297,42.6384261,83712
-107.9917071,61.0666922,71918
1.8883335,46.603354,66689
-4.003104,40.0028028,52044
134.755,-24.7761086,51054
78.6677428,22.3511148,48770
19.0258159,52.0977181,31644
-53.2,-10.3333333,29108
104.999927,35.000074,29008
-100.0000375,22.5000485,27685
122.7312101,12.7503486,26825
97.7453061,64.6863136,26533
139.2394179,36.5748441,25835
5.7480821,52.5001698,25799
34.9249653,38.9597594,21371
4.66696,50.6407351,19280
114.5632032,-4.7993356,19079
8.2319736,46.7985624,16190
-65.2699754,-35.0039032,14726
13.199959,47.2000338,14420
21.9999569,39.000041,13696
172.8344077,-41.5000831,11791
24.6859225,45.9852129,11232
15.4749544,49.8167003,11221
-75.0458515,-6.8699697,10962
-7.8896263,40.033265,10331
19.5060937,47.1817585,10080
127.937111,35.3985008,9858
14.5208584,59.6749712,9607
-73.7845072,2.8930783,8860
108.4265113,13.2904027,8216
10.3333283,55.670249,8041
35.0015196,30.8760272,7964
20.55144,44.1534121,7886
31.2718321,49.4871968,7860
-7.9794599,52.865196,6497
120.9820179,23.9739374,6384
112.8471939,2.3923759,6347
-71.3187697,-31.7613365,6145
17.0118954,45.5643442,6027
52.9471344,32.9407496,5704
100.83273,14.8971921,5381
103.852038,1.2904527,5298
25.9209164,63.2467777,5236
24.991639,-28.8166236,4881
71.247499,30.3308401,4623
11.5258473566,64.574131,4459
29.2675469,26.2540493,4391
114.1628131,22.2793278,3969
19.4528646,48.7411522,3869
-79.3666965,-1.3397668,3759
25.4856617,42.6073975,3380
-66.1109318,8.0018709,3059
-7.3366043,31.1728192,2960
53.9994829,24.0002488,2598
42.3528328,25.6242618,2523
2.9999825,28.0000272,2480
14.4808369,45.8133113,2414
-64.9912286,-17.0568696,2193
17.5859673,44.3092405,2170
-66.5841246,18.2017809,2077
23.7499998,55.3500003,1919
-56.0201525,-32.8755548,1735
7.9999721,9.6000359,1684
27.6971358,53.4250605,1515
44.6736646,40.7696272,1498
-84.0739102,10.2735633,1476
-89.8988087,15.6356088,1459
44.1749775,33.0955793,1393
9.400138,33.8439408,1374
38.4313975,1.4419683,1287
80.7038245875,7.878,1265
90.2932426,24.4768783,1216
21.7168387,41.6171214,1211
24.5999717,56.8666904,1110
25.3319078,58.7523778,1099
-81.3066246,8.3096067,1061
-60.9821067,10.8677845,1033
-70.3012705,19.094175,1025
6.1296751,49.8158683,1007
35.843409,33.8750629,956
19.9999619,41.000028,942
19.291739,43.0285558,797
-88.9140683,13.8000382,767
33.1451285,34.9823018,736
84.0916787,28.1083178,733
14.3836306159,35.9446731,732
-18.1059013,64.9841821,711
28.5110236,47.286747,656
36.941628,31.1667049,622
51.2295295,25.3336984,614
35.7878438,-6.5247123,580
-77.3947693,18.1850507,546
47.4979476,29.2733964,527
20.953599,42.6430165,509
38.6521203,10.2116702,499
-84.8700308,12.3724928,494
-58.1693445,-23.3165935,493
65.2093197,47.2286086,492
-1.0800271,8.0300284,469
39.0494106,34.6401861,459
-84.5978534,15.0610686,418
47.8207429,40.1636668,414
-14.4529612,14.4750607,363
57.5703566,-20.2759451,362
35.162072,31.649741,324
63.9528098,41.32373,302
104.869423,13.5066394,299
18.1236723,26.8234472,286
-5.5679458,7.9897371,285
32.2166578,1.5333554,274
-72.3570972,19.1399952,268
57.0036901,21.0000287,260
95.9999652,17.1750495,259
55.5265771,-21.1309332,257
29.7468414,-18.4554963,251
13.1535811,4.6125522,247
179.0122737,-18.1239696,240
114.5653908,4.4137155,237
46.4416422,-18.9249604,218
103.8499736,46.8250388,215
-5.35172472574,36.1316601,208
-80.8328748,23.0131338,202
64.9998468,33.0000866,193
-59.5250305,13.1500331,188
50.5344606,26.1551249,187
34.9144977,-19.302233,170
30.3714240786,15.79125,170
47.8915271,16.3471243,167
17.5691241,-11.8775768,162
-2.1358386,49.2214561,149
27.5599164,-14.5186239,148
144.733626446,13.444138,147
113.5381216,22.1919514,138
165.4880773,-21.3019905,138
-145.144109825,-16.36534505,128
-56.0771187,4.1413025,126
-78.0000547,24.7736546,124
74.724091,41.5089324,118
30.0644358,-1.9646631,106
-58.6416891,4.8417097,105
17.3231107,-23.2335499,104
125.8375756,-8.5151979,104
23.8222636,-2.9814344,97
-61.5650444,16.2490067,92
-4.5591148,54.1936805,90
-60.9620777,14.6113732,87
24.5928742,-23.1681782,86
-1.6880314,12.0753083,78
103.378253,20.0171109,75
2.2584408,9.5293472,68
-7.0322972,62.0448724,68
33.9301963,-13.2687204,67
-88.7600927,16.8259793,66
1.0199765,8.7800265,62
-24.0083947,16.0000552,60
-9.2399263,20.2540382,60
70.8156541,38.6281733,60
-68.9640917594,12.1845,58
11.6899699,-0.8999695,55
7.4197456,43.7312599,55
-2.58120210033,49.46229125,54
-60.975036,13.8250489,54
144.2489081,-5.6816069,47
-9.3658524,5.7499721,39
-2.2900239,16.3700359,39
59.3924609,39.3763807,39
-52.999998,4.0039882,38
-64.7603583,32.3018217,37
28.23347,-29.628684,37
90.5119273,27.549511,35
73.4867968,4.2218417,33
-80.5667132,19.5417212,31
29.8870575,-3.3634357,30
9.54693948514,47.15934115,30
-62.7687277,17.3462278,30
162.8288542,-9.7354344,30
-61.2765569,12.90447,30
49.083416,8.3676771,27
-69.9618475,12.5013629,26
-64.7080574,17.789187,26
-61.6904045,12.1360374,24
44.2832964,-12.2045176,22
170.9985095,6.9518742,20
150.1982846,5.5600565,20
1.5732033,42.5407167,19
23.8222636,-2.9814344,19
9.3238432,17.7356214,19
19.9438638,60.2166218,19
-61.8222516,17.079128,17
42.7377044381,11.85270615,17
-61.3653618,15.4113138,16
145.213452483,14.1490205,16
12.458306,43.9458623,16
-10.7083587,10.7226226,15
-172.1200508,-13.7693895,15
-11.8400269,8.6400349,15
-175.2026424,-19.9160819,15
31.3991317,-26.5624806,14
-63.1539329808,17.9345,13
55.4540146,-4.6574977,12
37.9999668,15.9500319,11
-64.5661642,18.4024395,10
-62.1916844,16.7417041,10
168.1069154,-16.5255069,10
30.05489,7.2653861,9
-63.0750234,18.1954947,7
-71.6201783,21.7214683,7
-15.4900464,13.470062,6
20.3493328,78.7198519,6
-42.8125967,77.6192349,5
-63.143223461,17.566,4
