lon,lat,sess
-100.4458825,39.7837304,842311
10.4234469,51.0834196,89044
-3.2765753,54.7023545,81986
-107.9917071,61.0666922,58150
12.674297,42.6384261,54448
78.6677428,22.3511148,48241
1.8883335,46.603354,44708
134.755,-24.7761086,43568
-4.003104,40.0028028,34097
122.7312101,12.7503486,29604
114.5632032,-4.7993356,29216
139.2394179,36.5748441,23741
-53.2,-10.3333333,21422
5.7480821,52.5001698,21023
-100.0000375,22.5000485,19034
19.0258159,52.0977181,18300
34.9249653,38.9597594,17665
97.7453061,64.6863136,16058
104.999927,35.000074,14971
4.66696,50.6407351,14457
8.2319736,46.7985624,12125
127.937111,35.3985008,11342
-65.2699754,-35.0039032,10642
13.199959,47.2000338,10379
172.8344077,-41.5000831,9951
108.4265113,13.2904027,8396
-75.0458515,-6.8699697,8172
21.9999569,39.000041,7641
-7.8896263,40.033265,7478
-73.7845072,2.8930783,7071
103.852038,1.2904527,7037
24.6859225,45.9852129,7036
19.5060937,47.1817585,6901
14.5208584,59.6749712,6703
15.4749544,49.8167003,6663
35.0015196,30.8760272,6090
10.3333283,55.670249,5977
24.991639,-28.8166236,5928
112.8471939,2.3923759,5491
20.55144,44.1534121,5433
-7.9794599,52.865196,5233
-71.3187697,-31.7613365,4958
31.2718321,49.4871968,4704
120.9820179,23.9739374,4652
52.9471344,32.9407496,4546
71.247499,30.3308401,4312
29.2675469,26.2540493,4207
114.1628131,22.2793278,4059
11.5258473566,64.574131,3787
17.0118954,45.5643442,3774
100.83273,14.8971921,3626
25.9209164,63.2467777,3485
-64.9912286,-17.0568696,3332
-66.1109318,8.0018709,2559
19.4528646,48.7411522,2411
38.4313975,1.4419683,2342
-79.3666965,-1.3397668,2301
-7.3366043,31.1728192,2281
14.4808369,45.8133113,2198
25.4856617,42.6073975,2118
53.9994829,24.0002488,1984
2.9999825,28.0000272,1977
7.9999721,9.6000359,1940
42.3528328,25.6242618,1906
-66.5841246,18.2017809,1796
90.2932426,24.4768783,1793
