lon,lat,sess
-100.4458825,39.7837304,3984263
-3.2765753,54.7023545,385358
10.4234469,51.0834196,340788
-107.9917071,61.0666922,294011
12.674297,42.6384261,235245
1.8883335,46.603354,199821
134.755,-24.7761086,165290
78.6677428,22.3511148,162108
-4.003104,40.0028028,156436
114.5632032,-4.7993356,122841
5.7480821,52.5001698,91551
34.9249653,38.9597594,84165
19.0258159,52.0977181,83869
139.2394179,36.5748441,82051
97.7453061,64.6863136,79131
-100.0000375,22.5000485,77490
-53.2,-10.3333333,77052
104.999927,35.000074,76402
122.7312101,12.7503486,76201
4.66696,50.6407351,68781
8.2319736,46.7985624,49366
13.199959,47.2000338,43823
127.937111,35.3985008,38711
172.8344077,-41.5000831,36243
21.9999569,39.000041,35166
-65.2699754,-35.0039032,34120
14.5208584,59.6749712,32694
15.4749544,49.8167003,32079
-7.8896263,40.033265,31550
108.4265113,13.2904027,30169
24.6859225,45.9852129,30109
19.5060937,47.1817585,29843
-7.9794599,52.865196,26765
10.3333283,55.670249,26305
103.8194992,1.357107,25396
35.0015196,30.8760272,25220
-75.0458515,-6.8699697,24832
-73.7845072,2.8930783,24744
31.2718321,49.4871968,23679
-90.3807719,36.197839,23626
20.55144,44.1534121,23070
29.2675469,26.2540493,22016
112.8471939,2.3923759,19376
24.991639,-28.8166236,18501
71.247499,30.3308401,18343
17.0118954,45.5643442,17728
120.9820179,23.9739374,17556
52.9471344,32.9407496,17216
11.526748676,64.5727775,16671
-71.3187697,-31.7613365,16257
25.9209164,63.2467777,15864
114.1628131,22.2793278,15811
19.4528646,48.7411522,13443
100.83273,14.8971921,12661
42.3528328,25.6242618,12071
53.9994829,24.0002488,10210
-66.5841246,18.2017809,9863
2.9999825,28.0000272,9481
-66.1109318,8.0018709,9092
-7.3366043,31.1728192,8902
25.4856617,42.6073975,8842
14.4808369,45.8133113,8704
17.5859673,44.3092405,7926
-79.3666965,-1.3397668,7919
44.1749775,33.0955793,7464
23.7499998,55.3500003,7218
-64.9912286,-17.0568696,7077
38.4313975,1.4419683,6527
7.9999721,9.6000359,6454
44.6736646,40.7696272,5943
90.2932426,24.4768783,5852
21.7168387,41.6171214,5631
35.843409,33.8750629,5497
25.3319078,58.7523778,5254
24.5999717,56.8666904,5122
27.6971358,53.4250605,4835
80.7038245875,7.878,4418
9.400138,33.8439408,4390
-89.8988087,15.6356088,4258
-84.0739102,10.2735633,4059
-56.0201525,-32.8755548,3834
14.504285,35.8953019,3691
19.9999619,41.000028,3610
-83.1137366,32.3293809,3592
-70.3012705,19.094175,3225
-60.9821067,10.8677845,2975
